name,sales,send_time,distance,start_price,delivery_price,mean_price,score
侯志伟纯手工酸辣粉（悦秀城店）,400,35,2.9,15,3.5,17,4.4
强氏喜阿婆粥饼店（樱花广场店）,900,44,3.1,20,3,25,4.2
铭禾居（锦业三路店）,300,44,5.8,20,6.5,21,4.2
清花饺子,400,53,4.0,20,5,20,4.7
纯奈の日式咖喱蛋包饭（长安店）,400,64,5.5,60,8,20,4.9
煎饼王（煎饼.手抓饼.米线）,300,35,2.9,15,3,14,4.9
希多美炸鸡汉堡（西北大学店）,100,30,157,15,2.5,22,4.8
老马家兰州牛肉拉面,100,38,2.9,20,4.5,20,3.9
老米家泡馍,300,44,5.5,15,7,23,4.4
碗主炭烧米线（万科棉花公寓店）,500,53,4.0,20,5,20,4.7
快乐奋青披萨,400,42,3.3,20,3,20,4.8
张大熊花甲米线店（西安总店）,1000,37,3.6,15,4,15,4.8
袁记肉夹馍(樱花广场店),400,32,3.3,20,3.5,18,4.6
占林牛肉面,100,38,3.1,20,4,0,5.0
馋嘴麻食.砂锅,1000,43,6.6,15,9,16,4.7
阳妈妈秘制砂锅（万科棉花公寓店）,200,50,4.0,20,4,19,4.8
正宗沙县小吃（雅居乐花园店）,100,40,3.2,20,3.5,20,4.1
怪兽砂锅炒饭,400,40,4.0,15,5.5,17,4.5
领尚客麻辣烫（冒菜）,500,30,2.9,15,4,19,4.7
福运到饺子馆,400,43,5.7,20,7,24,4.7
叫了只炸鸡（西北大学店）,600,31,2.8,15,3.5,21,4.4
侯志伟纯手工酸辣粉（G0G0街区店）,400,46,5.3,15,7,19,4.6
三个先森的韩国炸鸡（秋禾小吃店）,700,36,3.6,20,4,23,4.8
成记窝窝头粗粮早餐（文苑北路旗舰店）,7,40,3.4,20,3.5,0,0.0
川湘阁（郭杜店）,900,40,3.1,20,3,24,4.3
约饭吧快餐店.饭.面.菜.汤.粉.,7,46,3.2,15,3.5,0,4.9
好粥道粥屋（高新店）,1000,35,2.4,15,2.5,0,5.0
鸭爪爪特色火锅●干锅,1000,70,12.9,148,14,52,5.0
东仔烤肉饭（鸡排饭）,3000,33,2.4,15,2.5,17,4.6
杰食特中西快餐（光德路店）,7,40,4.3,20,4,0,0.0
小厨娘骨汤煮馍（高新店）,2000,32,2.2,15,2.5,13,4.7
京馆涮（老城根Gpark店）,2,60,8.7,100,5,0,0.0
