name,sales,send_time,distance,start_price,delivery_price,mean_price,score,restaurant_type
老孙家泡馍(智慧城店),700,40.0,4.8,15.0,2.5,27.0,4.5,4
紫燕百味鸡（樱花店）,100,39.0,3.4,15.0,4.5,36.0,5.0,4
绝味鸭脖（鹏润悦秀城店）,200,31.0,2.9,20.0,4.0,24.0,4.6,4
一粥七天健康粥馆（西大店）,1000,30.0,0.504,15.0,3.0,15.0,4.7,4
领尚客麻辣烫（冒菜）,500,30.0,2.9,15.0,4.0,19.0,4.7,4
清花饺子,400,40.0,4.0,20.0,5.0,20.0,4.7,4
仲基家炸鸡,500,30.0,0.169,20.0,3.0,15.0,4.8,4
千里香馄饨王（万科店）,400,42.0,4.1,20.0,7.0,20.0,4.7,4
侯志伟纯手工酸辣粉（悦秀城店）,400,35.0,2.9,15.0,3.5,17.0,4.6,4
飞鸿肉夹馍（樱花广场店）,1000,30.0,2.8,20.0,4.5,19.0,4.7,4
老上海馄饨（西外店）,500,30.0,1.1,15.0,2.5,17.0,4.6,4
三个先森的韩国炸鸡（秋禾小吃店）,700,36.0,3.6,20.0,4.0,23.0,4.8,4
味之思云南过桥米线,2000,35.0,3.6,15.0,5.0,15.0,4.6,4
澄城水盆,300,43.0,4.9,20.0,5.0,33.0,4.8,4
