name,sales,send_time,distance,start_price,delivery_price,mean_price,score,type
一粥七天健康粥馆（西大店）,1000,30,504,15,3,15,4.7,4
南京十里香卤味凉菜,1000,80,12.1,78,15,27,4.6,4
领尚客麻辣烫（冒菜）,500,30,2.9,15,4,19,4.7,4
清花饺子,400,40,4,20,5,20,4.7,4
仲基家炸鸡,500,30,169,20,3,15,4.8,4
千里香馄饨王（万科店）,400,42,4.1,20,7,20,4.7,4
侯志伟纯手工酸辣粉（悦秀城店）,400,35,2.9,15,3.5,17,4.6,4
飞鸿肉夹馍（樱花广场店）,1000,30,2.8,20,4.5,19,4.7,4
老上海馄饨（西外店）,500,30,1.1,15,2.5,17,4.6,4
锅圈食汇火锅烧烤食材超市外卖,100,85,7.4,138,12,0,4.9,4
三个先森的韩国炸鸡（秋禾小吃店）,700,36,3.6,20,4,23,4.8,4
味之思云南过桥米线,2000,35,3.6,15,5,15,4.6,4
澄城水盆,300,43,4.9,20,5,33,4.8,4
