name,sales,send_time,distance,start_price,delivery_price,mean_price,score,latitude,longitude
光合披萨（锦业二路店）,1000,48,6.2,15,10,20,4.7,34.181128,108.863680
宏超岐味岐山面,800,41,4.7,15,6,16,4.4,34.166214,108.897261
华莱士·全鸡汉堡（长里街店）,1000,44,5.8,20,7.5,23,4.4,34.180028,108.855563
粥之道（樱花店）,1000,62,4.3,15,5,18,4.1,34.165602,108.893178
味之思云南过桥米线,2000,36,3.6,15,5,15,4.6,34.165281,108.880287
杨铭宇黄焖鸡米饭（万科城店）,900,40,4.0,15,4,24,4.9,34.205510,108.928439
麦乐苏克,100,30,1.1,15,2.5,21,4.8,34.138695,108.867904
家味苑柳州螺蛳粉,400,30,0.707,15,2.5,16,4.6,34.140618,108.873465
仲基家炸鸡,500,30,0.169,20,3,15,4.8,34.216566,108.901293
迈德思客·汉堡·烤全鸡(樱花广场店),700,51,3.3,20,4.5,22,4.8,34.163452,108.879854
花花肠子馆·川湘菜,100,55,4.5,15,4.5,37,4.4,34.211711,108.945643
佳辉驴肉火烧,6,30,1.1,15,2.5,0,0.0,34.138652,108.867479
重庆鸡公煲（万科店）,600,40,4.1,20,4.5,22,4.7,34.163077,108.893912
千里香馄饨王（万科店）,400,43,4.1,20,7,20,4.7,34.349263,108.951534
鼎力老潼关肉夹馍(紫薇店),100,44,5.0,20,4.5,19,4.7,34.174490,108.876083
张亮麻辣烫,1000,44,5.5,15,8,19,4.6,34.278323,108.996108
老孙家泡馍(智慧城店),700,40,4.8,15,2.5,27,4.5,34.161098,108.904908
Honey韩式炸鸡,200,30,0.348,15,2.5,22,4.5,34.337347,108.956530
一品香驴肉火烧（棉花公寓店）,300,55,4.2,20,4,22,4.7,34.163846,108.894132
澄城水盆,300,42,4.9,20,5,33,4.8,34.183209,108.971508
菲味福韩式炸鸡汉堡（翰林北路店）,900,30,2.7,15,3,19,4.6,34.220320,108.905097
迈德思客（悦秀城师大门店）,800,32,3.0,15,3,16,4.7,34.159439,108.864934
侯志伟纯手工酸辣粉（悦秀城店）,400,35,2.9,15,3.5,17,4.4,34.264074,108.964005
强氏喜阿婆粥饼店（樱花广场店）,900,44,3.1,20,3,25,4.2,34.161971,108.878728
铭禾居（锦业三路店）,300,44,5.8,20,6.5,21,4.2,34.179528,108.880127
清花饺子,400,53,4.0,20,5,20,4.7,34.163283,108.893356
纯奈の日式咖喱蛋包饭（长安店）,400,64,5.5,60,8,20,4.9,34.257748,108.975392
煎饼王（煎饼.手抓饼.米线）,300,35,2.9,15,3,14,4.9,34.220077,108.929319
希多美炸鸡汉堡（西北大学店）,100,30,0.157,15,2.5,22,4.8,34.140566,108.874689
老马家兰州牛肉拉面,100,38,2.9,20,4.5,20,3.9,34.159816,108.867068
老米家泡馍,300,44,5.5,15,7,23,4.4,34.142510,108.949008
碗主炭烧米线（万科棉花公寓店）,500,53,4.0,20,5,20,4.7,34.163239,108.893344
快乐奋青披萨,400,42,3.3,20,3,20,4.8,34.161862,108.865662
张大熊花甲米线店（西安总店）,1000,37,3.6,15,4,15,4.8,34.308943,108.987319
袁记肉夹馍(樱花广场店),400,32,3.3,20,3.5,18,4.6,34.163328,108.879844
占林牛肉面,100,38,3.1,20,4,0,5.0,34.161909,108.877436
馋嘴麻食.砂锅,1000,43,6.6,15,9,16,4.7,34.155258,108.924133
阳妈妈秘制砂锅（万科棉花公寓店）,200,50,4.0,20,4,19,4.8,34.163377,108.893062
正宗沙县小吃（雅居乐花园店）,100,40,3.2,20,3.5,20,4.1,34.161981,108.880813
怪兽砂锅炒饭,400,40,4.0,15,5.5,17,4.5,34.163187,108.893394
领尚客麻辣烫（冒菜）,500,30,2.9,15,4,19,4.7,34.286354,109.025361
福运到饺子馆,400,43,5.7,20,7,24,4.7,0,0
叫了只炸鸡（西北大学店）,600,31,2.8,15,3.5,21,4.4,34.224831,108.930843
侯志伟纯手工酸辣粉（G0G0街区店）,400,46,5.3,15,7,19,4.6,34.249074,108.938832
三个先森的韩国炸鸡（秋禾小吃店）,700,36,3.6,20,4,23,4.8,0,0
成记窝窝头粗粮早餐（文苑北路旗舰店）,7,40,3.4,20,3.5,0,0.0,34.162915,108.880220
川湘阁（郭杜店）,900,40,3.1,20,3,24,4.3,34.160910,108.865973
约饭吧快餐店.饭.面.菜.汤.粉.,7,46,3.2,15,3.5,0,4.9,34.240739,108.894457
好粥道粥屋（高新店）,1000,35,2.4,15,2.5,0,5.0,34.239879,108.900579
鸭爪爪特色火锅●干锅,1000,70,12.9,148,14,52,5.0,34.245125,108.950625
东仔烤肉饭（鸡排饭）,3000,33,2.4,15,2.5,17,4.6,34.287925,108.833337
杰食特中西快餐（光德路店）,7,40,4.3,20,4,0,0.0,34.235072,108.901157
小厨娘骨汤煮馍（高新店）,2000,32,2.2,15,2.5,13,4.7,34.127779,108.883125
京馆涮（老城根Gpark店）,2,60,8.7,100,5,0,0.0,34.284741,108.915315
