name,feature1,feature2,feature3,latitude,longitude
肯德基宅急送（万科润园店）,234.77039773319254,-13.199781100924145,2.150325994021594,34.158219,108.894562
湖南土菜馆（大仁店）,34.799526387554394,0.993766108651142,0.3847956496422929,34.151030,108.853085
王菊面馆（郭杜旗舰店）,3234.7885161388735,-4.828185331291067,-1.4320635731272058,34.152603,108.865072
东勋干锅肉煎饭,1234.787270540039,-4.241286628070261,-2.1806185648759624,34.140334,108.875885
小鑫家煲仔饭·烤肉饭（西北大学店）,234.78764884754227,-4.637647379417387,-2.272759957014216,34.287636,108.922889
重庆鸡公煲(西北大店),234.8001917433709,3.501941973959565,-2.632251771152383,34.140923,108.874319
西贝莜面村（西安阳光城店）,1234.8036404539832,6.424609917427692,2.479197815313365,34.170513,108.868767
慕玛披萨（西安书香路店）,-665.1861433999748,7.222921666808926,1.6680582049918904,34.166209,108.897299
外婆印象（万科店）,234.8062917360899,6.826192683959689,1.4333132789764267,34.158220,108.894684
泰熙家（阳光天地店）,2234.8071735367175,6.804591529062397,2.1708850672395594,34.169804,108.868435
小六汤包(韦郭路店),234.8081309892924,6.928467154288121,1.0383760396482735,34.158375,108.893124
德克士（长安三店）,234.8021299648447,3.477690296598621,0.8576970613785605,34.160295,108.880345
拴马桩擀面皮（师大店）,234.79578190842616,-3.6853941241103407,-0.9483910901334429,34.160588,108.892588
麦乐香汉堡(西北大学店),234.79135583738037,-4.328857428723457,-4.085138295853525,34.140661,108.873581
金饭,-665.2124635324661,-5.271556566917789,-2.4943502891004994,34.142211,108.880527
重庆菜馆,-365.1812544894458,11.41003461259973,-0.38400393349629386,34.483238,109.082031
邢老三糊辣汤,34.79053595283043,-4.124895017503999,0.19374345643315702,34.247280,108.937843
潮汕砂锅粥,-565.2105880690779,-2.569863942738687,-2.482253498365759,34.218944,108.904037
泰熙家（樱花广场店）,234.80267787151584,3.9835577083004594,0.8624547519982946,34.159633,108.880331
益阳味道,-665.189927666408,12.54028292429934,1.8236489819924782,34.158411,108.891349
锋味私房菜（紫薇店）,1234.8054336001073,1.7909557632837176,2.275929907975191,34.177085,108.859788
安安静静.三明治.手撕鸡.,234.78860811758588,-5.000988463015124,-2.0983200927313628,34.144108,108.880576
飞鸿肉夹馍（樱花广场店）,234.7973818383088,-0.6668088235168899,-0.4254019484887971,34.159168,108.880423
爱情麻辣拌,34.791779434265386,-2.8285685335396034,-2.4282900217479777,34.141004,108.868726
刘大饼土豆片夹馍店,1234.8109432654815,6.04692950400095,2.162597981000649,34.165089,108.880295
陕记老潼关肉夹馍旗舰店,2234.7975390295487,-0.7485583297879791,0.5174582393502855,34.184454,108.938580
老米家泡馍（万科润园店）,-665.2144986728122,-3.982540942921524,3.308185552216768,34.147081,108.884426
迈德思客•汉堡•烤全鸡（长安大学城店）,2234.7981353373493,-2.887758450468189,0.6345118123804981,34.166216,108.897045
荠岛의国王拌饭(樱花广场店）,1234.7997385999279,-0.6841119068120375,-0.040257732051351566,34.274111,108.966052
爱尚寿司屋（西北大学店）,-565.2068741919614,-2.453119958379243,-3.6699697941747558,34.140568,108.874680
川福小厨,-665.2123322639949,-5.375257715902022,-1.2542203704181327,34.159468,108.868098
一粥七天健康粥馆（西大店）,234.7894967999891,-4.795568782619675,-2.229165954494713,34.139016,108.874359
袁记肉夹馍（茅坡新城店）,234.7988100837122,-1.7835108872227727,1.2164353106755272,34.165608,108.895660
阿香米线(西安阳光天地餐厅),234.8023670867133,2.2186134658107513,0.9711043138165107,34.170097,108.868114
老北川,-165.197369988047,-0.627772479931438,1.4133797890984539,31.83614,104.466714
雷式灌汤包（阳光天地店）,-365.1922423325199,3.3325084326791727,0.7559878842227886,34.169281,108.868487
成都川菜,-763.2017620804254,-2.776003626642596,0.35622961284032795,34.216345,108.997143
福鑫源（川湘菜店）,-758.1775794789816,7.443844556940519,4.195339031205751,34.147251,108.358878
手握V披萨（西北大店）,-565.2184821824826,-9.970840165954275,-3.9205837992495187,34.216500,109.116530
鲜目录寿司•鳗鱼•肥牛饭（阳光店）,34.80180026802014,0.5462364119617013,0.18353697252150597,34.170039,108.868080
顶顶香（万科店）,-265.19218437695383,4.06713064781649,0.7067054304033696,34.158448,108.893548
杨国福麻辣烫,134.80477395991736,2.667406594197916,-0.10408675956113994,34.158488,108.893796
CASE芝士焗饭（长安店）,234.82592262824593,24.683708648652775,4.433613061049635,34.203865,108.945098
毛记冒菜（紫薇田园店）,-165.20063444138233,-1.2185914652835306,1.1677464050012452,34.179537,108.878174
辣风芹酱香炒米粉（长安店）,234.80158433478633,-1.462545511719627,1.680833578226128,34.158043,108.913871
馋猫元气料理（万科店）,-565.1946607979592,6.843161830173239,2.8649360993331556,34.158187,108.893474
鱼酷活力烤鱼（西安高新阳光城店）,-565.1756467825139,8.868224216036571,0.46004058524023106,34.170799,108.868595
小四川平价川菜,-759.2026897144067,-5.478541274370793,-2.795462776468224,34.138506,108.868973
新疆古法椒麻鸡・大盘鸡(居安路大学城店),-365.21465442727146,-5.811966487048835,-1.7712827564288807,34.146946,108.884528
食尚麻辣香锅(西大店),234.78941566776984,-4.766902104115183,-2.472205003185087,34.204057,108.945918
泥波南院门葫芦头,-265.2087604118306,-3.6673826799619444,-1.0252401352374794,34.159260,108.863196
老上海馄饨（西外店）,-265.20975863216563,-5.406081915060661,-2.545605351381141,34.337697,108.939387
熊猫比萨（樱花广场店）,-265.1972447243063,1.7213055851078172,-0.15713479418900547,34.163515,108.879847
蜀湘一品（紫薇店）,1234.8088561621828,4.315612465764522,4.355700315391248,34.180926,108.868430
