Column 1,Column 2
西安高新希尔顿酒店•咖啡露台西餐厅,4.9分1835条评论 雁塔区沣惠南路22号1楼西安高新希尔顿咖啡露台西餐厅人均￥126
川府锦绣（西荷花园店）,4.1分384条评论 碑林区劳卫路西荷美食商业街北区2楼（近红星美凯龙）人均￥49
金刚精酿啤酒 kingkong,3.5分1条评论 长安区艺术大街紫薇田园都市E区（永辉超市隔壁）人均 -
上岛咖啡（东二环店）,3.9分3479条评论 碑林区韩森路9号（东二环互助路立交东北角）人均￥53
济州家韩国自助烧烤,4.6分2157条评论 雁塔区丈八三路绿地中央广场2层213号人均￥62
兰湘子·湘菜小炒（民乐园店）,4.9分343条评论 新城区解放路111号民乐园万达广场5楼502-B503号人均￥51
塞纳左岸咖啡（未央路店）,4.2分4596条评论 未央区未央路98号（西安市档案馆正对面，大明宫西站B出口向南50米）人均￥56
金三顺紫菜包饭（太奥广场店）,3.8分4368条评论 莲湖区沣惠路北段7号太奥广场7号楼2层人均￥25
悦豪美食k歌聚会馆（和平门店）,4.9分48条评论 碑林区和平路10号人均￥71
同盛祥（钟楼店）,4.6分13768条评论 莲湖区西大街5号（近钟楼）人均￥57
建国饭店中餐厅,4.9分124条评论 碑林区互助路2号建国饭店1楼人均￥102
美佳蛋糕（未央路凤城二路店）,5分338条评论 未央区凤城一路岗家寨商业中街西排十二号人均￥80
卡米乐西饼屋,4.8分348条评论 长安区常宁大街何家营新村教院东门口向南30米人均￥30
欧美特蛋糕,4.9分691条评论 雁塔区丈八六路余家庄3排1号人均￥42
锡林阿玛冰煮羊（大雁塔历史博物馆店）,4.8分250条评论 雁塔区雁南一路与翠华路交叉口西北角玺岸广场三楼海底捞旁人均￥85
麦香手擀面,3.8分331条评论 未央区西咸路501号人均￥14
东方宫兰州牛肉拉面,4.9分5005条评论 未央区凤城六路与未央路十字向西200米路南（维也纳酒店对面）人均￥15
福苗小骆驼烧烤（莲湖路老店）,3.4分23条评论 莲湖区莲湖路莲湖公园北门对面长安银行东侧人均￥86
帕帕亚Papaya意大利餐厅（南门店）,4.5分881条评论 碑林区南关正街89号帕帕亚意大利餐厅3楼（SKP向南50米）人均￥102
小六汤包（兴庆南路店）,4.9分711条评论 碑林区兴庆南路159号快时尚商业街E号（近华润万家）人均￥41
美佳蛋糕（钟楼东大街店）,5分176条评论 碑林区南柳巷25号人均￥80
清真·聚鲜阁威海海鲜私房菜,5分1039条评论 新城区长乐西路白马服饰广场A座2402室人均￥74
红透天自助涮烤（互助路店）,4.1分27455条评论 碑林区互助路26号2层人均￥38
太食獸泰式茶餐厅（赛格国际店）,4.9分264条评论 雁塔区长安北路赛格国际购物中心七楼人均￥109
山葵铁板烧,4.1分6710条评论 新城区北大街55号西华门十字东南角新时代广场2-3楼人均￥95
蜀渝香自助小火锅,4.3分1171条评论 雁塔区西安市高新区丈八街办甘家寨村东三排17号楼一单元一层门面房人均￥22
一刘烧烤·陕北羊肉面,3.6分 长安区gogo街区一层人均 -
妙妙涮羊肉（高新店）,4.8分2074条评论 雁塔区科技六路中段橡树街区A座一层(中国联通对面)人均￥83
豪上鲜文鱼庄,4.3分5484条评论 雁塔区锦业路与丈八三路交汇处东北角建设银行三楼人均￥84
锡林阿玛冰煮羊·烤肉（曲江大唐不夜城银泰店）,4.9分238条评论 雁塔区大唐不夜城雁南二路与新唐人街十字曲江银泰城A馆4楼南侧人均￥84
文老根米线（莱安逸境店）,4.4分3411条评论 雁塔区唐延路北段1号莱安逸境肯德基北20米路东人均￥22
Venus Cake 维纳斯蛋糕工坊（龙首村店）,3.8分16110条评论 未央区永福路北路祥福居底商人均￥36
5号酒馆,3分5条评论 雁塔区兴善寺东街长安中路65号人均￥88
猫咪餐厅（小寨店）,4.9分8833条评论 雁塔区兴善寺东街与长安中路交叉口金莎国际B座1011人均￥52
上岛咖啡（龙首店）,4.1分4147条评论 莲湖区龙首北路西段虹桥雅轩A座门面房人均￥74
美牛美客牛排餐厅,4.4分16条评论 灞桥区思源学院商业街润华超市二楼人均￥20
邢记·牛排咖啡,4分490条评论 未央区凤城一路西段明光路与文景路之间海璟台北湾南区（邢记烧烤三楼）人均￥52
月红仟禧自助涮烤（红旗店）,3.8分18776条评论 未央区风城八路卜蜂水晶卡芭拉西区2楼人均￥45
披着猫·猫咖,5分28条评论 雁塔区慈恩东路10号通善坊商铺（儿童需满十二周岁）人均￥52
胡记私房菜（魏家湾店）,4.1分291条评论 未央区凤城九路东口老魏家湾西南角二楼人均￥41
保尔森自助海鲜烧烤,4分36888条评论 未央区未央路68号时代明丰苑2楼人均￥50
长安大牌档之长安集市（赛格旗舰店）,4.4分12443条评论 雁塔区小寨东路赛格国际购物中心6楼西北角人均￥50
唐乐宫二十四节气调养火锅,4.5分1155条评论 碑林区长安北路75号唐乐宫人均￥107
糊涂记（新城广场店）,4.9分8285条评论 新城区南新街8号路西人均￥41
量贩式演艺餐吧SEXY,4.9分22条评论 碑林区南稍门中贸广场人均￥100
