Column 1,Column 2
奥赛奥章鱼水煎肉,4.9分3487条评论 碑林区东大街骡马市1号民生百货6层人均￥53
北京羲和雅苑烤鸭坊（熙地港店）,4.7分1332条评论 未央区凤城七路未央路口熙地港4层（行政中心站地铁B3口）人均￥86
川西豆皮涮牛肚火锅,3.5分9条评论 未央区学府东路学府公寓3楼人均￥50
俄士厨房（吉祥路店）,4.9分4572条评论 雁塔区吉祥路168号人均￥78
咪咪川菜（白桦林居店）,4.9分522条评论 未央区西文景路88号白桦林居东门D栋88号（近凤城八路）人均￥35
马虎面馆（翠华北路店）,3.5分4条评论 雁塔区雁塔区翠华北路353号人均￥18
勇利赵家烤肉坊（纬二街店）,5分14644条评论 雁塔区纬二街世纪经典大厦1楼人均￥50
川坝子老灶火锅（航天店）,3.6分932条评论 长安区凤栖东路韦曲福泽巷三楼人均￥66
旺袁记神仙酸汤鱼,4.5分35条评论 雁塔区枫林路禾盛京广中心（t11商场3F西北角）人均￥79
莱卡味道,4.9分120条评论 未央区文景路与凤城七路十字向西200米路北（龙东国际酒店一楼）人均￥30
秦人街西北菜,4.6分281条评论 未央区凤城九路海荣名城小区裙楼二层10204A座人均￥63
福苗小骆驼烧烤（凤八店）,4.4分5条评论 未央区凤城八路123号地铁四号线文景路站A口出人均￥86
老狼大盘鸡,4.3分454条评论 鄠邑区政法路与北街交叉口公安局向西50米人均￥25
二掌柜水盆羊肉（水文巷店）,4.9分781条评论 碑林区张家村街道水文南巷北口路西（陕西省人民医院旁）人均￥20
洛可可蛋糕坊（交大店）,5分959条评论 碑林区兴庆南路学府首座9号楼1层10104号西户人均￥74
永刚烤肉（临潼店）,5分3721条评论 临潼区人民西路博爱医院隔壁人均￥47
米斯特比萨（金辉店）,3.8分777条评论 莲湖区唐延路北段22号（金辉国际广场1层11-12室）人均￥67
粤西渔村,3.5分1条评论 莲湖区梨园路御园温泉小区D区七号楼一楼西北角人均￥110
小阿妹米线（凤城一路店）,4.9分6175条评论 未央区凤城一路与未央路交叉口西行100米路南（芳馨园小区底商）人均￥23
方燕烤猪蹄烧烤（长安广场旗舰店）,4.1分21791条评论 长安区广场北路圣合家园一期紫鑫阁饭店向南50米人均￥10
趣知味铜锅涮肉,3.5分 莲湖区西市北路25号人均￥90
爱尚伯爵（泾渭店）,3.9分4594条评论 高陵区泾渭路与泾环南路交叉口东北角人均￥27
东东包（交大店）,3.9分5086条评论 碑林区兴庆南路89号启光大厦1楼人均￥15
好享龙虾,3.7分32条评论 碑林区咸宁西路62号陕煤招待所院内人均￥123
2068香辣虾（电子正街店）,3.7分9679条评论 雁塔区电子正街231号人均￥58
牛一嘴·中国兰州牛肉拉面（财富中心店）,3.9分7178条评论 雁塔区南二环西段财富中心A座一层南侧（近高新二路）人均￥15
洛可可生日蛋糕坊（城市立方店）,5分1063条评论 雁塔区朱雀大街南段华城万象2期5号楼人均￥69
小锅无界（新世界店）,4.2分4228条评论 莲湖区北大街88号（宏府嘉会广场新世界百货负二楼）人均￥46
王华峰潼关肉夹馍（太元路店）,4.1分2026条评论 未央区太元路，华远君城4-101号人均￥16
Route 就现在蛋糕（线上店）,4.4分4条评论 碑林区地铁3号线咸宁路站c口向南150米人均￥68
2068香辣虾（全国总店）,4分11839条评论 未央区未央路69号华迪大厦1-2层人均￥66
欧巴来了韩式料理,4.5分20602条评论 雁塔区兴善寺东街83号（小螺娃隔壁）人均￥34
贝尔莉莎艺术蛋糕,5分50条评论 灞桥区米秦南路5号枫禾苑小区3号101/102号（北2）人均 -
老城味道,4.2分18541条评论 未央区鱼藻东路水晶卡芭拉小区北门东行50米人均￥19
大城小鸡黄焖鸡排骨米饭(非外卖)（新城总店）,4.2分5178条评论 新城区尚俭路470号卫民社区团结楼一号楼二号人均￥18
美佳蛋糕（小寨赛格大雁塔店）,5分281条评论 雁塔区长安中路小寨村89号人均￥80
聚丰苑北京烤鸭店（龙首北路店）,3.7分2098条评论 未央区龙首北路西段27-17号人均￥51
五谷香自助涮烤火锅（青年南街店）,3.8分14355条评论 长安区青年南街菲特主题酒店南10米人均￥37
疯狂的棒棒•撸串公司火锅,3.5分1条评论 未央区富源三路秦东大厦南侧（和平商场1楼）人均￥60
麦之香蛋糕（友谊东路店）,3.9分3665条评论 碑林区测绘东路李家分村8号人均￥33
汉釜宫韩式烤肉（临潼店）,4分4844条评论 临潼区万年路6号人均￥35
九月侨牛肉火瓢（民乐园悦荟店）,暂无评分 新城区解放路166号悦荟广场7层L705号人均 -
Merrykin麦里金（美院专卖店）,4.4分4862条评论 雁塔区雁塔西路254号（美术学院东门对面）人均￥19
老车家牛羊肉泡馍馆（大差市店）,4.5分7300条评论 碑林区东羊市6号（马厂子十字东南角）人均￥24
瓦库30号（曼蒂广场店）,4.5分3条评论 雁塔区雁南一路曼蒂广场南门东侧一、二楼人均￥136
瑞可爺爺的店（赛格店）,4.7分38229条评论 雁塔区长安中路小寨赛格国际负二楼人均￥30
0057香辣虾（小寨店）,3.6分12578条评论 雁塔区长安中路众邦投资4楼（小寨赛格北50米，天桥东侧，海港城南面）人均￥50
慧莹农家乐,3.5分1条评论 长安区太乙宫街道杏园村905路停车场对面人均￥23
黄品煌三汁焖锅（东大街店）,4.1分12300条评论 新城区东大街民生对面第七感觉三楼（案板街口东20米）人均￥38
味都西饼店（华美店）,4.5分10286条评论 长安区华美十字木材公司综合楼下（近北里王骨科医院）人均￥15
名典咖啡语茶（紫薇店）,3.5分 长安区怡园路紫薇田园都市E区东方明珠底商永辉超市南行隔壁人均￥100
小蛮子纸包鱼（电子四路店）,4.3分3775条评论 雁塔区电子四路东口建设银行西侧人均￥49
鑫和炝锅鱼（梨园路店）,4分3322条评论 莲湖区梨园路蔚蓝悦城第1幢1单元10103号房人均￥51
还是串串火锅,4.2分9条评论 碑林区顺城南路25号人均￥80
飞鹿餐饮,4.9分5416条评论 莲湖区莲湖路323号飞鹿商务酒店内（近玉祥门）人均￥49
和福顺养生焖锅（长百店）,4.4分16463条评论 长安区韦曲北街长百新市广场三楼人均￥58
洛可可蛋糕坊（行政中心店）,4.9分1501条评论 未央区凤城八路雅荷城市花园北门往东100米人均￥81
唐乐宫-法兰西百谷特面包屋,4.5分5326条评论 碑林区长安北路75号唐乐宫大厅内人均￥28
王魁腊汁肉夹馍（柿园路店）,3.9分2189条评论 碑林区柿园路兴庆公园北门车站往东行路南人均￥13
洛可可生日蛋糕坊（胡家庙店）,5分356条评论 新城区长缨西路75号人均￥45
老北京烤鸭（东厅门店）,4.1分1533条评论 碑林区东县门11号第8中学往西150米路北（如家酒店斜对面）人均￥36
上岛咖啡（凤城四路店）,3.9分4551条评论 未央区凤城四路与明光路十字世融嘉城人均￥58
洛可可生日蛋糕坊（三桥店）,5分1267条评论 未央区三桥拥军路天玺国际侧面底商（菜鸟驿站往里走）人均￥50
金瑞坊炝锅鱼,4.3分4989条评论 长安区韦曲广场北路美林幼儿园南50米固美口腔一楼（圣合家园二期西门北侧10米）人均￥38
清真食尚旋转自助火锅,4.2分4082条评论 莲湖区麦苋街88号人均￥31
洛可可生日蛋糕坊（龙首印象城店）,5分2868条评论 未央区未央路印象城1号楼1701号人均￥72
菜客·陕菜,3.9分7078条评论 莲湖区小南门里十字西北角向西20米路北（中汇会计大厦一楼）人均￥41
千福聚北京果木烤鸭（丰登路店）,4.7分2629条评论 莲湖区丰登西路与丰登南路交叉口西北角路北人均￥26
小蚂蚁海鲜烧烤,4.7分15条评论 碑林区碑林区竹笆市中环广场B座105号人均￥58
维克蛋糕（西稍门店）,3.8分1031条评论 莲湖区西稍门西关正街28号人均￥44
熙裕阁中国兰州牛肉拉面馆,4.3分14497条评论 新城区北关正街9号熙裕阁（西安大唐医院北邻）人均￥10
学习巷小马烤肉（回民街店）,4分 莲湖区西大街大学习巷内100米人均￥58
兰州马子禄牛肉面,4.3分5950条评论 未央区凤城三路与文景路十字向西200米路北（明光路和文景路中间）人均￥22
三顾香牛羊肉泡馍（凤城六路店）,4.2分4804条评论 未央区未央路与凤城六路十字向东50米路（银池丽舍旁）人均￥29
青华园土灶台,3.5分 长安区210国道沣裕口大转盘南100米路东人均￥43
三原老黄家（文艺路店）,3.8分1038条评论 碑林区文艺路天伦盛世5楼（友谊东路口向东200米）人均￥51
毛记冒菜（高新店）,4.3分2623条评论 雁塔区大寨路与丈八北路交口东北角人人乐出口（大寨路公交站牌旁）人均￥16
大秦山庄,3.5分4条评论 长安区子午峪西村（小五台）人均￥61
清真渔坊秘制烤鱼,4.9分2732条评论 莲湖区洒金桥中段44号（清真古寺正门北行5米路西原尚捞自助火锅）人均￥40
第一佳大鸡排（长安广场店）,4.3分2848条评论 长安区广场北路长安广场华润万家一楼4铺人均￥14
啊布串串火锅,3分1条评论 雁塔区曲江林语人均￥40
北京涮羊肉,3.9分6891条评论 雁塔区小寨西路子午路十字向北200米路西（美豪酒店楼下）人均￥39
迈德思客（潘村店）,4.3分5931条评论 灞桥区弘知路潘家村寨门里头50米（近海棠学院）人均￥10
福苗小骆驼烧烤（曲江店）,4.1分1187条评论 雁塔区雁南一路154号曲江通泰左岸二层人均￥84
龙腾火锅（泾渭店）,4.1分6165条评论 高陵区泾河工业园区西营十字向南200米路西（近长庆西路）人均￥66
ccake蛋糕（高新店）,4.9分2619条评论 雁塔区高新路甘家寨西二排一号楼四单元人均￥61
福苗小骆驼烧烤（高新店）,4.3分1691条评论 雁塔区团结南路响塘广场对面路东（中建群贤汇旁边）人均￥91
挞挞家秘汁焖锅（立丰店）,4.4分2253条评论 碑林区东二环路立丰国际购物广场6楼人均￥47
臻膳轩自助涮烤城,3.9分6378条评论 长安区北长安街123号（地铁2号线航天城向北100米北站十字）人均￥40
洛可可生日蛋糕坊（太华南路店）,5分747条评论 新城区太华南路银河坊民族小区24-0104号商铺（中天爱幼幼儿园对面）人均￥79
姚家闻香铁锅炖（纺一路店）,4.2分2334条评论 灞桥区纺一路东段灞桥分局斜对面（唯真楼隔壁）人均￥44
玉肠香葫芦头泡馍,3.9分7678条评论 未央区龙首北路西段51号人均￥21
安妮贝可生日蛋糕（南稍门店）,5分328条评论 碑林区四民巷55号人均￥45
爱尚蛋糕,3.9分3171条评论 未央区凤城五路西安中学南门对面海璟时代人均￥37
张记老蒲城羊肉,4.2分3014条评论 未央区凤城三路与明光路十字向东200米路北（文景公园北门斜对面）人均￥38
萤初炉端烧（四海唐人街分店）,4.5分18条评论 未央区太华北路26号四海唐人街人均￥200
天下第一面（大雁塔北广场店）,4.9分4908条评论 雁塔区小寨东路8号（大雁塔北广场慈恩镇旁）人均￥40
王锦记冒菜香锅（陕科大店）,3.9分2424条评论 未央区陕科大时代广场1号楼1层78-2号人均￥19
洛可可生日蛋糕坊（土门店）,5分717条评论 莲湖区团结四路18号北户人均￥80
玲祥大盘鸡,5分503条评论 临潼区行者路石油城西门向北100米（临潼福瑞汽修斜对面）人均￥32
福气焖锅烤肉,4.4分1103条评论 雁塔区小寨东路126号百隆广场B座10层A室（华驿精选酒店乘电梯）人均￥35
锡林阿玛冰煮羊（汉神广场店）,4.9分221条评论 未央区凤城八路汉神购物广场5层人均￥84
安旗西点（蓝田店）,3.8分1574条评论 蓝田县近郊蓝新路南段与新民街西段交叉北70米路西（农业银行对面）人均￥13
干锅居（电子正街店）,3.7分4039条评论 雁塔区电子正街128号人均￥54
渝香楼,3分3条评论 鄠邑区鄠邑区人民路春蕾什子北200米路西人均￥50
喵星人的猫咖啡,4.9分1086条评论 雁塔区电子正街怡兴大厦5F（紫薇城市花园对面）人均￥41
北京烤鸭（徐家庄店）,4.6分1736条评论 雁塔区科创路162号人均￥46
洛可可生日蛋糕坊（民乐园店）,5分903条评论 新城区解放路皇城壹号1-02号商铺（新城区公证处旁边）人均￥56
北京烤鸭（长缨东路店）,4.4分2200条评论 新城区长缨东路146号（长缨酒店对面）人均￥54
阿姨奶茶专卖（小寨店）,4.9分822条评论 雁塔区长安中路177号海港城一层J-23人均￥8
洛可可生日蛋糕坊（西稍门店）,5分397条评论 莲湖区五一巷75号A6商铺人均￥84
闻道听香火锅,4.4分2645条评论 雁塔区电子正街与电子四路丁字路口向西200米路南，金磊大兴坊小区西侧二楼人均￥58
伊诺仕蛋糕,4.7分3397条评论 雁塔区兴善寺西街91号（新家坡小区）人均￥73
贝尔莉莎艺术蛋糕（曲江店）,5分72条评论 雁塔区长安南路东三爻堡村四组西口0101号人均 -
土耳其卡巴布清真餐厅（西安店）,4.3分2276条评论 雁塔区长安南路2号雁塔文化新天地西侧（近纬二街博纳电影院东侧）人均￥41
云南过桥米线（解放路店）,3.7分7188条评论 新城区解放路45号人均￥24
洛可可蛋糕坊（半坡店）,5分1204条评论 灞桥区堡子村纺建路东辰濠景一层门面房人均￥66
金皇冠蛋糕,4.8分2652条评论 未央区建章路与花园西街交叉口西北角（三棵树超市对面）人均￥50
桥头米线涮牛肚,4.3分1307条评论 碑林区长乐坊22号人均￥15
洛可可生日蛋糕坊（小寨店）,5分591条评论 雁塔区吉祥村商业街B13号（御笔华府十字路往南100米路西）人均￥74
臻味醉淡泊铜锅涮肉（含光门店）,4.5分1214条评论 莲湖区火药局巷29号（含光门里西侧100米）人均￥90
三姊妹香辣土豆片夹馍（海港城店）,4.4分4122条评论 雁塔区长安中路177号海港城B1层人均￥6
贝尔莉莎艺术蛋糕（全国总店）,5分661条评论 未央区龙首北路祥福居小区北门底商人均￥129
ME CAKE蛋糕·西点,4.2分2375条评论 莲湖区汉城北路150号雅卓花园10-1-101人均￥77
莲花餐饮（高新店）,4.9分1132条评论 雁塔区高新路南段89号（近云顶园小区）人均￥61
贝尔莉莎艺术蛋糕旗舰店,5分644条评论 雁塔区博文路甘家寨东三排10号人均 -
维也纳咖啡,4.1分737条评论 未央区凤城八路与文景路十字路口向西200米人均￥52
马有才牛肉拉面,4.4分10994条评论 未央区未央路与凤城六路十字向东100米路北人均￥12
悦宾楼（半坡艺术区店）,3分1条评论 灞桥区半坡地铁口向南300米半坡国际艺术区东北门入口一楼人均￥50
香客源自助火锅城（八府庄园店）,3.6分1868条评论 新城区含元路八府庄园9号楼1层6号人均￥27
兄弟大灶台-大庆路店,4.2分1496条评论 莲湖区大庆路与阿房路交叉口东50米路南人均￥59
小谷姐姐麻辣拌·麻辣烫（华夏幸福广场店）,4.9分19条评论 灞桥区纺西街2572号华夏幸福里购物广场4层4f-13人均￥20
食色火锅（高新店）,4.7分1716条评论 雁塔区科技路西口华润万家超市楼上8层807室人均￥65
聚朋自助火锅,4分2262条评论 新城区尚勤路与东四路交叉口向西70米路北（西安银行旁）人均￥21
御品馋猫砂锅麻辣烫,3.5分1条评论 雁塔区太白南路西部电子商业步行街107号人均￥24
小伙伴铜盘火锅（互助路店）,4.7分1267条评论 碑林区互助路东北角紫落澜庭1栋1单元1006人均￥46
重庆渝味晓宇火锅（粉巷店）,4.4分6877条评论 碑林区南院门食尚南院古道茶城二楼A8-A9人均￥95
大千麻辣鱼,3.5分3条评论 长安区西沣路7号（丰德寺旁边）人均￥86
老单家葫芦头泡馍,4.5分3928条评论 未央区常青二路银池花香丽舍小区第七幢1单元1层10105号人均￥18
关中大锅炖（灞桥区店）,4.5分1473条评论 灞桥区白鹿原狄寨转盘向北100米人均￥36
贝尔莉莎艺术蛋糕（土门店）,5分84条评论 莲湖区团结二路二号10号楼一单元一楼门人均 -
楼北楼牛羊肉泡馍（大差市店）,4.1分2688条评论 碑林区东三道巷21号（近大差市）人均￥27
Enoch Cake 以诺蛋糕,3.9分1360条评论 雁塔区高新六路北口向南200米人均￥65
清真奥斯曼大盘鸡砂锅,4.6分39条评论 莲湖区二府街70号人均￥25
福临北京烤鸭（韦曲西街店）,4.2分2076条评论 长安区韦曲西街93号（二幼西侧）人均￥50
悠味烘焙坊（三桥店）,4.1分1718条评论 未央区双拥路三桥地铁口南50米金桥国际楼下（李记搅团南侧巷内10米）人均￥59
ccake蛋糕（环城北路店）,4.9分252条评论 莲湖区环城北路126号纸坊南社区1号楼1单元1层2号（天翼手机南边社区门口）人均￥53
鲜羔楼三味火锅,4.4分3398条评论 未央区昆明路与富源三路交叉口南行100米路东人均￥63
拾堂（土门店）,4分1321条评论 莲湖区汉城南路与丰镐西路交叉口（制药厂十字）西北角华东万锦城4楼人均￥40
贝克维斯生日蛋糕,5分53条评论 雁塔区高新区丈八街办甘家寨东三排10号楼3单元1层门面人均 -
聚福生葫芦头,4分1594条评论 未央区新府一路张家堡新村北门人均￥29
望江楼饭庄,4.2分2410条评论 未央区凤城六路369号7号楼一层人均￥30
ccake蛋糕（交大乐居场店）,4.9分1992条评论 碑林区乐居场47号3-3-0105室人均￥71
老机场重庆跳水鱼老店,3.9分1184条评论 莲湖区锦园路3号人均￥58
京都肉饼王,4.9分3783条评论 雁塔区师大路中段34号人均￥12
花语溪（西安小寨店）,4.7分10条评论 雁塔区朱雀大街515号新加坡小区4-1410人均￥83
中田餐饮古城老菜馆（华东店）,4.4分2126条评论 雁塔区长安南路196号华东服饰广场（陕西师范大学正门对面）人均￥38
醉仙楼,4.3分1179条评论 高陵区西韩路高陵县汽车站向南30米人均￥30
贝尔莉莎艺术蛋糕（雁塔店）,5分103条评论 碑林区友谊东路铁安一街口铁路局5号楼负一层西侧人均 -
黑土情酱骨庄,4分939条评论 雁塔区电子商城步行街东208号人均￥36
希雅美烘焙（三十米路店）,4.3分1765条评论 蓝田县三十米路自来水公司楼下（自来水收费厅隔壁）人均￥18
春阳茶事（gogo街区店）,4.6分24条评论 长安区GOGO街区579号人均￥17
诚净和,4.2分951条评论 高陵区西韩街汽车站向南30米人均￥33
荷韵泡姜鸡特色火锅（凤城五路店）,4.3分1254条评论 未央区凤城五路与未央路十字东北角MAX未来1楼10117号人均￥51
灞原嘹咋咧面馆（万科店）,4.5分16条评论 长安区万科棉花公寓15-1-111号商铺人均￥17
员苑咖啡,4.4分717条评论 莲湖区西华门十字西南角新世界百货B1层东北角62号（靠近北门）人均￥32
Cake Talk 心语蛋糕房（纺织城店）,4.7分2158条评论 灞桥区堡子村转盘京都国际1号楼507室人均￥29
串妹花式冰粉（西安凤城三路店）,4.9分60条评论 未央区凤城三路四海唐人街向西50米人均￥10
清真尚品旋转自助火锅,4.1分1616条评论 莲湖区大皮院64号人均￥33
田园泡芙（兴庆公园店）,4.2分5324条评论 碑林区兴庆公园南门西侧人均￥10
食YUE,4.9分267条评论 碑林区南大街印花布园社区7幢9栋10101底商人均￥22
佳美蛋糕（洪庆店）,4.1分2203条评论 灞桥区田洪正街230号庆华北区人均￥60
老狼大盘鸡（徐家庄店）,3.5分1521条评论 雁塔区科技路安荣大厦1楼人均￥32
虎子水盆羊肉,4.9分1990条评论 雁塔区曲江新区翠华南路229号擎友大厦综合楼临街商铺人均￥36
林江鲜米线店,4.3分1283条评论 新城区万寿路38号（313路公交车起点站）人均￥15
铭香楼蒲城水盆羊肉,4.2分982条评论 雁塔区科技六路数字空间1楼10107间人均￥29
彭府湾（劳动路店）,4.8分154条评论 莲湖区西安市莲湖区劳动路76号一层人均￥12
㝇香过桥米线,4.2分827条评论 临潼区银桥大道东三岔广场西侧914915汽车站点福客隆附近人均￥10
面道,4.5分1690条评论 长安区新华街与长兴北路交口西北角（蓉城印象对面）人均￥13
Paris Sweet网红生日蛋糕,4.5分26条评论 长安区韦曲南街兰乔国际城东门童蒙星幼儿园隔壁人均￥100
旗王蛋糕,4.7分1665条评论 莲湖区团结西路土门新华批发市场西北角人均￥40
老柳大块牛肉面,3.9分1467条评论 新城区十四街坊东段（十四街坊与万寿中路交叉口西100米）人均￥15
谷田缘八宝粥家常菜,4.9分276条评论 碑林区东关南街256号人均￥9
红红鱼庄,4分880条评论 新城区韩森路延伸段139号新东尚S人均￥42
分享时光（中贸广场店）,3.7分1826条评论 碑林区长安北路中贸广场4号楼三层人均￥34
上味早点铺,3分3条评论 灞桥区御锦三路御锦城3-R2期17幢第10107号（乔治de公园南门对面）人均 -
滚雪球小奶糕,4.2分436条评论 碑林区建东街与安西街交叉口向南50米路西人均￥12
中田美食（师大路店）,4.5分1870条评论 雁塔区师大路26号（近中国工商银行师大分行）人均￥29
拴马桩擀面皮（凤城十路店）,4.7分36条评论 未央区凤城十路金源御景华府西北门旁人均￥20
屋头串串（长安店）,4.4分2428条评论 长安区文苑北路雅居乐西门向北100米路东（樱花二路和文苑北路交叉口路东）人均￥50
西安唐隆国际酒店百香西餐厅,3.8分1036条评论 雁塔区雁南四路98号唐隆国际酒店3层人均￥183
FUN COFFEE梵咖啡,4分5条评论 莲湖区大学习巷58号人均￥30
麦香村蛋糕,3.9分1098条评论 蓝田县近郊蓝新路中段41号人均￥12
辣动时代自助小火锅（东辛庄店）,3.8分730条评论 雁塔区高新六路圆通快递东侧40米处人均￥28
袁小厨餐厅,3.5分 雁塔区科技一路26号长风绿谷院内人均￥17
傻得冒冒菜馆（西荷店）,3.8分1489条评论 碑林区兴化巷西荷商业美食街（凯旋城东侧旁）人均￥20
澄城张记水盆羊肉,3.9分1031条评论 莲湖区丰登北路46号人均￥22
NO.廿｜甜室（0卡低脂蛋糕）,暂无评分 碑林区文艺北路敬业大厦人均￥119
川王府,4.2分467条评论 周至县农商东街27号（计生局对面）人均￥35
同盛德泡馍,3.6分1955条评论 雁塔区大雁塔北广场东南角全季酒店一楼人均￥32
香香大盘鸡,4.9分2089条评论 雁塔区长安南路196号华东服饰广场3楼（陕师大正门对面）人均￥35
酒串·串串香火锅店（龙首店）,4.9分1133条评论 未央区龙首村十字区政府向西100米路北（龙首茶叶市场正对面）人均￥41
珍味林饺子馆（华旗国际广场店）,4.3分982条评论 雁塔区长安中路97号（华旗国际广场B1层）人均￥14
御品轩（交大一店）,4.2分1426条评论 碑林区咸宁西路28号交大一村5舍（翠庭大厦斜对面）人均￥18
新美心蛋糕,4.7分747条评论 未央区三桥建章路中段49号花园市场北侧10米（车辆厂医院）人均￥24
小山峡巫山烤全鱼纸包鱼,4.1分6022条评论 雁塔区育才路262号人均￥25
晓丰快乐西饼,4.4分706条评论 灞桥区灞桥区柳巷火车站什字路口，柳虹路与东城大道交叉口路东好又佳超市隔壁人均 -
拓氏云南生态石锅鱼（建国路店）,4.9分1030条评论 碑林区建国路31号金顶人家1楼北3号（建国门进来路东50米，）人均￥79
咖啡陪你（逸翠园店）,4.2分561条评论 高新区锦业二路北侧逸翠园三A期人均￥39
尚品蛋糕,4.2分1247条评论 高陵区西营村西营十字西南角雅居宾馆楼下人均￥15
同州大老碗手擀面,4.4分834条评论 长安区樱花一路樱园食府斜对面（樱花广场对面）人均￥14
思味蛋糕屋（龙首路店）,3.8分902条评论 莲湖区龙首村西北区荣民花园5幢2单元1层20102号人均￥44
湖南土菜馆,3.8分812条评论 雁塔区科技路西口十字向西200米富裕路8号（向西30米韩氏万家香粥饼取餐）人均￥39
食色Shesoul 港式料理（立丰国际店）,4.9分1631条评论 碑林区立丰国际公寓512室（立丰国际公寓楼北门5楼）人均￥55
你懂的西饼屋,4.3分640条评论 高陵区鹿祥路利民花园东3号铺人均￥30
三鲜葫芦头泡馍,3.8分1028条评论 雁塔区高新区锦业一路19号锦樾旺街1-10102-2号人均￥19
尕娃椒麻鸡（龙首村店）,4.7分1483条评论 未央区龙首北路西段花园客栈隔壁人均￥26
重庆德庄火锅（周至店）,5分1049条评论 周至县环城东路与农商街交汇处（水岸东方小区商业楼）人均￥51
米乐西饼店,4.1分884条评论 蓝田县蓝新路中段96号（蓝新路与向阳路十字北150米）人均￥10
金乐爱特蛋糕（太白南路店）,4.2分1452条评论 雁塔区太白南路紫薇尚层（电子四路）人均￥34
启明腊汁肉揪面片,4.8分923条评论 雁塔区翠华路大雁塔小学北侧（原乐乐腊汁肉揪面片）人均￥19
阿霞螺蛳粉（高新店）,3.9分1361条评论 雁塔区科技二路甘家寨北门东二排三号楼二单元人均￥16
东北人自助小火锅（下北街店）,3.9分681条评论 临潼区下北街中段（近北关小学）人均￥18
四季香葫芦头,4.1分1217条评论 临潼区姜寨路天河酒店西门对面巷内20米（近天河酒店）人均￥19
四季尚品西饼屋,4.1分3032条评论 雁塔区甘家寨西区10排3单元1层商铺（丈八北路地铁C口出向南30米）人均￥40
三姐香辣涮冒菜世家,3.9分2089条评论 碑林区和平路108号人均￥23
云毅过桥米线,3.8分538条评论 高新区高新区光华路191号糜家桥小区38号楼1-2号人均￥20
虎子鱻石锅鱼,4分755条评论 莲湖区土门坊开远半岛市民中心南行50米人均￥57
油泼辣子biangbiang面,4.5分339条评论 碑林区建东街与太乙路交口西南角人均￥12
雷超正宗水盆羊肉,4.3分845条评论 雁塔区曲江新区中海东郡小区西门向南100米（近中海东郡）人均￥26
T·ONOR欧诺蛋糕,5分1442条评论 碑林区新安街丹尼尔东西窑坊小区20号楼一层20102人均￥77
沸腾鱼庄,4.4分807条评论 雁塔区唐兴路与丈八北路交汇处唐兴路21号（陕西省卫生监督所西隔壁）人均￥54
周公岐山面,4分1990条评论 碑林区咸宁西路兴庆宫公园南门西侧人均￥11
维斯特蛋糕,3.8分7406条评论 雁塔区民洁路西安际华三五一一家纺有限公司西大门南侧沿街门面房人均￥72
小天地川菜主题餐厅,4.9分945条评论 长安区府东一路城南新天地南侧人均￥39
福春缘葫芦头,4.9分1621条评论 未央区凤城六路与未央路十字向东20米路北（醉关中对面）人均￥27
曹记重庆老火锅,4.3分584条评论 雁塔区咸宁东路356号科技学院西侧（田马路十字向西200米路南）人均￥59
奶语茶香（长安广场店）,4.4分1357条评论 长安区韦曲街道西长安街长安广场华润万家入口东侧20米（池上寿司）人均￥9
香叶草创意蛋糕（西稍门店）,4.7分801条评论 莲湖区铁塔寺路66号（西稍门大酒店北侧）人均￥80
西府面馆（省体育场店）,4.2分798条评论 碑林区体育北路108号商铺人均￥12
思彤驴蹄子面（长安西路旗舰店）,4.8分593条评论 雁塔区长安西路三兴园小区北门斜对面（朱雀大街与长安西路十字向西，真爱医院西侧50米）人均￥15
思氏横山铁锅炖羊肉,4.2分1761条评论 未央区凤城三路与贞观路十字向西50米路南（六号大院六号楼三层）人均￥62
元木烘焙蛋糕坊（五路口万达店）,4.1分2005条评论 新城区东五路44号付1号人均￥26
老东关饺子店,4.3分474条评论 碑林区火炬路北口3号人均￥20
小竹签烤肉（自强西路旗舰店）,4分1266条评论 莲湖区自强西路38号西安铁路职业技术学院对面人均￥47
清真金龍大盘鸡,4.4分439条评论 莲湖区大皮院34号（莲湖区政府向西200米）人均￥42
老白家牛羊肉泡馍,4.3分475条评论 新城区东六路群策巷小区西边20米人均￥23
秦轩澄城水盆羊肉（北三环店）,4.5分1387条评论 未央区太华北路沿线北三环大明宫建材市场物流区北门东侧（尚客优骏怡快捷酒店西约50米）人均￥26
艾米客蛋糕,3.9分1075条评论 长安区皂河路与青年南街十字向南200米路东（金赛商务酒店正对面）人均￥10
乐享食光烘焙工坊（十里铺店）,3.7分1479条评论 灞桥区浐灞生态区李家堡商业街39号人均￥14
安旗（广安路店）,4.1分454条评论 未央区广安路西岸国际花园一期北门东50米人均￥29
汉釜宫韩式自助烧烤火锅,3.3分2273条评论 灞桥区白鹿原solo街与商业街十字路口处（北海道楼下）人均￥36
乐美客炸鸡汉堡（西翻店）,3.9分900条评论 长安区太乙宫正街82号对面人均￥22
月盛斋,4.6分821条评论 鄠邑区人民路十字北段300米路东人均￥25
张记饺子馆,4.4分1173条评论 临潼区诚信路19号，菜市场向东300米人均￥10
馋喵海鲜私房馆,4.8分431条评论 临潼区行者路16号石油城西门向北100米路东人均￥31
白菜心（高陵店）,4.3分774条评论 高陵区鹿歌路6号人均￥45
和憩园火锅坊,4.4分159条评论 未央区北辰大道祥和居西门向北100米（宝宝乐隔壁）人均￥55
