names,scores,longitude,latitude,mean_price,comment,cluster
上岛咖啡（龙首店）,4.1,108.944127,34.292329,74,4147,1
美牛美客牛排餐厅,4.4,109.081000,34.232468,20,16,5
邢记·牛排咖啡,4.0,108.932017,34.312805,52,490,1
月红仟禧自助涮烤（红旗店）,3.8,108.936790,34.340490,45,18776,2
披着猫·猫咖,5.0,108.966002,34.210042,52,28,4
胡记私房菜（魏家湾店）,4.1,108.935550,34.344450,41,291,1
保尔森自助海鲜烧烤,4.0,108.946418,34.296646,50,36888,2
长安大牌档之长安集市（赛格旗舰店）,4.4,108.948340,34.223870,50,12443,3
唐乐宫二十四节气调养火锅,4.5,108.947161,34.236021,107,1155,5
糊涂记（新城广场店）,4.9,108.948797,34.267137,41,8285,4
量贩式演艺餐吧SEXY,4.9,108.945493,34.242589,100,22,4
戴琳娜法国餐厅,4.7,108.948480,34.291412,70,3901,4
德国赫佰仕啤酒餐厅,4.9,108.894478,34.233044,90,106,4
麻门匠骨秘制羊棒骨（大寨路店）,4.8,108.872185,34.245183,80,78,4
润雨·尚品海鲜大闸蟹,4.3,108.937188,34.241682,51,1260,5
味一米线（土门华东店）,4.3,108.871262,34.260518,20,3230,5
雁鸣烤肉坊（大唐芙蓉园店）,3.5,108.976560,34.208737,76,5,1
百富烤霸（西京医院店）,4.9,108.989872,34.269810,16,9505,4
长安雅集大厦餐厅,4.7,108.945477,34.192029,45,406,4
窄巷子陕菜馆（粉巷店）,4.4,108.945802,34.255253,46,1509,5
伯爵工房蛋糕（凤城三路店）,4.2,108.969863,34.322219,30,5502,5
傻得冒冒菜香锅,4.4,108.911056,34.288166,19,800,5
好口福私房菜,3.9,108.983805,34.300932,42,429,1
眉州东坡（金地广场店）,4.4,108.988210,34.203926,59,1523,5
蓉一锅豆花串串火锅,4.9,109.021637,34.300660,36,53,4
禧旺自助涮烤（胡家庙店）,3.7,109.002387,34.278811,48,10104,1
道口烧鸡,4.7,108.922393,34.282579,18,125,4
XOXO酒吧,4.6,108.871402,34.226922,50,17,5
呱呱叫民俗风味主题餐厅,4.7,108.976653,34.031944,68,406,4
麦香蛋糕,4.6,108.989777,34.379344,30,1630,5
XOXO酒吧,4.6,108.871402,34.226922,50,17,5
东来顺（交大店）,4.9,108.988114,34.258169,69,8758,4
建国饭店绿茵阁咖啡厅,4.7,108.995328,34.259107,123,1587,4
徽興記黄山臭桂鱼（曲江银泰城店）,4.4,108.963405,34.206675,73,35,5
馋莱客炸鸡汉堡（海棠店）,4.1,109.125397,34.206872,16,327,1
甜酷·星期五cake工坊（钟楼店）,4.9,108.930135,34.252629,60,792,4
川寨子麻辣香锅冒菜（民乐园万达广场店）,3.5,108.964952,34.268620,35,2,1
苏福记（凤城三路店）,4.4,108.947931,34.317713,47,5150,5
Jane's garden 简的花园牛扒屋（简的花园）,4.4,108.922893,34.236428,88,2369,5
锡林阿玛冰煮羊（钟楼银泰店）,4.9,108.942738,34.258762,90,323,4
怡咖啡·自助餐（香格里拉大酒店）,4.1,108.897325,34.233587,170,840,1
红透天自助涮烤（土门店）,4.1,108.871440,34.261008,45,19751,2
金洲美食·浔味陕南,4.0,108.997374,34.195954,72,1,1
彼德西餐（凯德店）,4.3,108.936378,34.229258,84,4085,5
