name,scores,address,mean_price,comment
建国饭店中餐厅,4.9,碑林区互助路2号建国饭店1楼,102,124
美佳蛋糕（未央路凤城二路店）,5.0,未央区凤城一路岗家寨商业中街西排十二号,80,338
卡米乐西饼屋,4.8,长安区常宁大街何家营新村教院东门口向南30米,30,348
欧美特蛋糕,4.9,雁塔区丈八六路余家庄3排1号,42,691
锡林阿玛冰煮羊（大雁塔历史博物馆店）,4.8,雁塔区雁南一路与翠华路交叉口西北角玺岸广场三楼海底捞旁,85,250
麦香手擀面,3.8,未央区西咸路501号,14,331
东方宫兰州牛肉拉面,4.9,未央区凤城六路与未央路十字向西200米路南（维也纳酒店对面）,15,5005
福苗小骆驼烧烤（莲湖路老店）,3.4,莲湖区莲湖路莲湖公园北门对面长安银行东侧,86,23
帕帕亚Papaya意大利餐厅（南门店）,4.5,碑林区南关正街89号帕帕亚意大利餐厅3楼（SKP向南50米）,102,881
小六汤包（兴庆南路店）,4.9,碑林区兴庆南路159号快时尚商业街E号（近华润万家）,41,711
美佳蛋糕（钟楼东大街店）,5.0,碑林区南柳巷25号,80,176
清真·聚鲜阁威海海鲜私房菜,5.0,新城区长乐西路白马服饰广场A座2402室,74,1039
红透天自助涮烤（互助路店）,4.1,碑林区互助路26号2层,38,27455
太食獸泰式茶餐厅（赛格国际店）,4.9,雁塔区长安北路赛格国际购物中心七楼,109,264
山葵铁板烧,4.1,新城区北大街55号西华门十字东南角新时代广场2-3楼,95,6710
蜀渝香自助小火锅,4.3,雁塔区西安市高新区丈八街办甘家寨村东三排17号楼一单元一层门面房,22,1171
妙妙涮羊肉（高新店）,4.8,雁塔区科技六路中段橡树街区A座一层(中国联通对面),83,2074
豪上鲜文鱼庄,4.3,雁塔区锦业路与丈八三路交汇处东北角建设银行三楼,84,5484
锡林阿玛冰煮羊·烤肉（曲江大唐不夜城银泰店）,4.9,雁塔区大唐不夜城雁南二路与新唐人街十字曲江银泰城A馆4楼南侧,84,238
文老根米线（莱安逸境店）,4.4,雁塔区唐延路北段1号莱安逸境肯德基北20米路东,22,3411
Venus Cake 维纳斯蛋糕工坊（龙首村店）,3.8,未央区永福路北路祥福居底商,36,16110
5号酒馆,3.0,雁塔区兴善寺东街长安中路65号,88,5
猫咪餐厅（小寨店）,4.9,雁塔区兴善寺东街与长安中路交叉口金莎国际B座1011,52,8833
上岛咖啡（龙首店）,4.1,莲湖区龙首北路西段虹桥雅轩A座门面房,74,4147
美牛美客牛排餐厅,4.4,灞桥区思源学院商业街润华超市二楼,20,16
邢记·牛排咖啡,4.0,未央区凤城一路西段明光路与文景路之间海璟台北湾南区（邢记烧烤三楼）,52,490
月红仟禧自助涮烤（红旗店）,3.8,未央区风城八路卜蜂水晶卡芭拉西区2楼,45,18776
披着猫·猫咖,5.0,雁塔区慈恩东路10号通善坊商铺（儿童需满十二周岁）,52,28
胡记私房菜（魏家湾店）,4.1,未央区凤城九路东口老魏家湾西南角二楼,41,291
保尔森自助海鲜烧烤,4.0,未央区未央路68号时代明丰苑2楼,50,36888
长安大牌档之长安集市（赛格旗舰店）,4.4,雁塔区小寨东路赛格国际购物中心6楼西北角,50,12443
唐乐宫二十四节气调养火锅,4.5,碑林区长安北路75号唐乐宫,107,1155
糊涂记（新城广场店）,4.9,新城区南新街8号路西,41,8285
量贩式演艺餐吧SEXY,4.9,碑林区南稍门中贸广场,100,22
戴琳娜法国餐厅,4.7,莲湖区未央路27号龙首十字东南角荣民广场宫园壹号2801(陕西省商业联合会门口进)（龙首塬地铁C口）,70,3901
德国赫佰仕啤酒餐厅,4.9,雁塔区高新4路16号，西安万豪行政公寓1层（朗臣公寓）,90,106
麻门匠骨秘制羊棒骨（大寨路店）,4.8,雁塔区大寨路与丈八北路交口东北角人人乐北20米,80,78
润雨·尚品海鲜大闸蟹,4.3,碑林区友谊西路155号陕西省邮票公司办公楼5幢2楼西第四间,51,1260
味一米线（土门华东店）,4.3,莲湖区土门制药厂十字华东万锦城4楼,20,3230
雁鸣烤肉坊（大唐芙蓉园店）,3.5,雁塔区芙蓉南路大唐芙蓉园南门B16号曲江书城正对面,76,5
百富烤霸（西京医院店）,4.9,新城区长乐西路15号西京医院大门东侧双鱼商城1楼（民生银行旁）,16,9505
长安雅集大厦餐厅,4.7,雁塔区长安南路84号长安雅集大厦内（与陕西社会主义学院同院）,45,406
窄巷子陕菜馆（粉巷店）,4.4,碑林区粉巷20号,46,1509
伯爵工房蛋糕（凤城三路店）,4.2,未央区凤城三路东段百花家园10号楼底商公交站牌处（四海唐人街北门）,30,5502
傻得冒冒菜香锅,4.4,莲湖区天朗大兴郡蔚蓝锦城10号楼，大兴医院斜对面（金芙蓉旁）,19,800
好口福私房菜,3.9,未央区太元路华远君城3幢1单元10212室,42,429
眉州东坡（金地广场店）,4.4,雁塔区曲江池东路999号金地广场3层,59,1523
蓉一锅豆花串串火锅,4.9,灞桥区金裕青青家园（西区）,36,53
禧旺自助涮烤（胡家庙店）,3.7,新城区东站路12号万源文体城5楼（长缨宾馆向北50米路西）,48,10104
道口烧鸡,4.7,莲湖区星火东巷与星火路交叉口旁,18,125
XOXO酒吧,4.6,雁塔区龙城铭园二期,50,17
呱呱叫民俗风味主题餐厅,4.7,长安区210国道中石油加油站斜对面路东（沣峪口环山路转盘往南）,68,406
麦香蛋糕,4.6,未央区西安工业大学未央校区东门苏席村15排3号,30,1630
XOXO酒吧,4.6,雁塔区龙城铭园二期,50,17
东来顺（交大店）,4.9,碑林区南二环与兴庆路十字东北角出版传媒大厦一层105室,69,8758
建国饭店绿茵阁咖啡厅,4.7,碑林区互助路立交2号建国饭店绿茵阁咖啡厅（近互助路立交桥）,123,1587
徽興記黄山臭桂鱼（曲江银泰城店）,4.4,雁塔区雁塔南路银泰城B馆3楼,73,35
馋莱客炸鸡汉堡（海棠店）,4.1,灞桥区狄寨大学城商业街2号,16,327
甜酷·星期五cake工坊（钟楼店）,4.9,莲湖区甜水井街双仁府3号楼6栋00114号（艺术幼儿园往西100米）,60,792
川寨子麻辣香锅冒菜（民乐园万达广场店）,3.5,新城区解放路111号民乐园万达广场5楼,35,2
苏福记（凤城三路店）,4.4,未央区未央路与凤城三路十字向西100米路南（市图书馆）,47,5150
Jane's garden 简的花园牛扒屋（简的花园）,4.4,碑林区太白路立交西北角人民法院隔壁丰润国际8楼观光电梯直达（南二环太白路立交近怡丰城向北50米）,88,2369
锡林阿玛冰煮羊（钟楼银泰店）,4.9,碑林区西大街鼓楼对面银泰百货6层（地铁二号线钟楼站C口向西286米）,90,323
怡咖啡·自助餐（香格里拉大酒店）,4.1,雁塔区科技路38号乙香格里拉大酒店1层,170,840
红透天自助涮烤（土门店）,4.1,莲湖区汉城南路旭景新港华东万锦城购物中心4楼（制药厂）,45,19751
金洲美食·浔味陕南,4.0,雁塔区科技四路万科金域店,72,1
彼德西餐（凯德店）,4.3,雁塔区二环南路西段64号凯德广场4楼4-19,84,4085
爱心蛋糕坊,5.0,鄠邑区人民路人人乐超市北侧巷内（朱雀广场东门里同一药店南侧）,45,1571
白小宝烤肉店,4.0,新城区民乐园南区(尚勤路)231号,30,18
红透天自助涮烤（大寨路店）,3.8,雁塔区大寨路与丈八北路交叉口东南角（新乐城3楼）,43,23801
锦唐印象（纺织城店）,4.9,灞桥区纺北路阳光时代B座1-2层（堡子村转盘向东150米路北）,58,16665
Time Cake时光纪蛋糕,5.0,雁塔区春临三路凯旋新天地2层120号,159,38
小肥羊（小寨金莎国际店）,4.9,雁塔区长安中路65号金莎国际购物广场5层,73,6767
储缘蛋糕（十里铺店）,4.9,灞桥区十里铺北路与华清东路交叉口向东100米路南凯森福景美地,44,954
稀罕妳泥炉烧烤,4.3,雁塔区唐延路北段59号唐延鑫苑3号楼一层（锦都小区南门对面）,93,78
横城韩牛一韩式烤肉炸鸡（民乐园万达店）,4.9,新城区解放路111号五路口东南角万达广场5层西北角2号电梯旁,82,6147
李记搅团（东关正街店）,4.9,碑林区东关正街66号世贸大厦B座2层西室（东门外人人乐对面）,44,2028
锦翔炝锅城（五路口店）,4.9,新城区尚勤路纺织大厦59号,47,52419
王府川菜馆,4.9,新城区尚德路190号（尚德路与西七路交叉口圣和医院南30米）,28,483
羊瑞堂铁锅羊肉（未央路旗舰店）,4.4,未央区未央路万象未央109号一层,81,2645
皇冠假日酒店·朱雀咖啡厅,4.0,碑林区朱雀路中段1号西安皇冠假日酒店一层（省体育场西门）,142,573
千家粗粮王（小寨店）,4.1,雁塔区小寨东路国贸大厦4楼,67,53724
千家粗粮王（东大街店）,4.3,碑林区东大街骡马市北口向东150米3楼（西北金行楼上、近民生）,61,44444
李想大虾火锅花园（郭杜店）,3.7,长安区郭杜东街郭杜老十字西北角东街广场二楼,57,8575
长安大牌档之西游漫记（大悦城店）,4.1,雁塔区慈恩西路777号大悦城L3-01号铺,72,39
鸭掌门（青龙寺店）,3.6,雁塔区西影路209号纯翠花园小区2楼,58,3125
曼岛咖啡,3.8,雁塔区小寨路街道吉祥路168号豪盛时代华城一二层（西安银行旁）,54,2503
大厨小馆（阳阳国际店）,4.2,雁塔区朱雀大街132号阳阳国际2F（交大一附院对面）,58,297
烤什么名堂·陕菜·烧烤（西门店）,4.3,莲湖区南马道巷与西梆子市街交叉口东南角,55,3520
西安烤鸭店（西荷店）,3.7,碑林区劳卫路中段1号西荷花园商业街,70,1238
重庆无刺纸包鱼,4.5,未央区武德路科大时代广场,50,10
西部马华食府（含光路店）,4.3,雁塔区含光路南段与崇业路交叉口西北角,40,3743
上善素食馆,4.9,碑林区东关正街9号幸福逸家,61,296
鱼酷活力烤鱼（老城根店）,4.5,莲湖区星火路22号老城根Gpark商业街区西区方所二楼,90,6
古都·金麦西饼屋,4.4,灞桥区骞柳商业街北口第一家2排17号（3号楼）,25,986
赛纳维红酒餐厅,4.9,雁塔区丈八一路绿地SOHU同盟B座208室,65,95
荣宴·中餐厅,4.5,雁塔区高新二路与科技二路交叉口东南角东丹轩梓园北门（农业银行二楼）,1686,2
尚克拉拉牛排（钟楼店）,4.0,碑林区东大街508号西安西北眼镜行三层,79,12210
康桥酒楼,4.5,碑林区咸宁西路28号交大一村康桥服务大厦二楼,53,508
顺水鱼馆（高新路店）,4.5,雁塔区高新路与科技四路十字东南角，枫林绿洲西门向北走150米,65,2115
茶见小院,4.4,未央区文景路白桦林居商业街3楼（市政府西门对面）,61,133
江城小馆陕南妈妈菜·全球旅行餐厅（长安地标老店）,4.4,碑林区西木头市51号联邦中航酒店1楼（荣获2018/2020大众点评双料必吃榜上榜餐厅，南大街西木头市口右转）,43,2243
长安大牌档之凤舞朝阳（朝阳门店）,4.2,新城区环城东路北段益田假日世界购物中心1-2层,57,1657
朱雀国家森林公园,4.0,鄠邑区南部东涝河上游秦岭梁北侧（鄠邑区涝峪八里坪村）,102,2625
川渝人家（海韵店）,4.6,未央区经济技术开发区未央路149号亚凯园1-3层,48,580
粤港饭店,4.4,未央区浐河东路自然界城墅13号楼商铺,79,7
拉菲达牛排自助（赛格国际店）,3.7,雁塔区长安中路123号赛格国际购物中心7层（与小寨东路交叉口东北角）,57,19229
清真·老兰家（兴善寺西街总店）,4.3,雁塔区兴善寺西街101号（好家商务酒店楼下）,46,1853
秦西坊餐厅,4.3,莲湖区西市一路和西市南路交汇处南20米,60,9
豪客来牛排（唐延中心城店）,4.9,莲湖区唐延路168号唐延中心城1层,57,2040
陇海净和川菜,4.7,新城区解放路306号陇海大酒店2楼,47,599
宁厨家饭,4.6,未央区梨园路和生国际西行100米,40,1127
西安中兴和泰酒店,4.7,高新区高新区唐延南路10号（唐延南路与南三环十字南300米路西中兴产业园）,477,454
园园果业,4.9,新城区联志路联志小区（临潼区骊山826）,10,51
